track,ksvd_acc,ksvd_vocals,lowrank_acc,lowrank_vocals,mixture_acc,mixture_vocals,nmf_acc,nmf_vocals,random_acc,random_vocals,scn_acc,scn_vocals
AM Contra - Heart Peripheral,9.208,4.859,5.533,-0.079,3.469,-3.559,7.903,3.157,2.78,-3.733,8.498,4.304
Al James - Schoolboy Facination,3.46,3.49,2.557,1.497,0.299,-0.228,3.109,3.094,-0.144,-0.642,4.701,4.181
Angels In Amplifiers - I'm Alright,5.947,4.381,3.713,1.312,1.441,-1.656,4.9,3.373,0.888,-1.971,8.078,6.349
Arise - Run Run Run,9.575,-1.954,8.854,-3.011,8.364,-8.29,8.511,-3.469,6.29,-8.534,10.151,-1.777
BKS - Bulldozer,7.114,-6.213,9.468,-5.853,10.352,-10.598,6.871,-5.314,7.538,-10.828,10.166,-7.009
BKS - Too Much,8.224,4.767,6.058,2.116,2.833,-2.775,6.957,3.251,2.102,-3.101,8.285,5.174
Ben Carrigan - We'll Talk About It All Tonight,7.296,-3.886,9.011,-1.851,7.549,-7.654,7.358,-2.929,5.593,-8.14,9.061,-2.434
Bobby Nobody - Stitch Up,7.174,-0.104,9.361,1.284,6.179,-6.073,6.668,-0.984,5.05,-6.049,9.797,1.958
Buitraker - Revo X,9.077,-0.982,8.906,-1.348,7.357,-7.402,8.406,-0.548,5.751,-7.552,10.068,0.219
Carlos Gonzalez - A Place For Us,0.4,1.871,-0.508,-1.379,-0.934,0.803,0.225,0.551,-1.331,0.292,1.946,2.098
Cristina Vane - So Easy,10.776,5.098,6.178,-2.066,5.022,-4.902,10.884,5.373,4.091,-4.956,11.17,6.244
Detsky Sad - Walkie Talkie,4.788,3.471,3.434,0.629,1.839,-1.696,3.707,2.125,1.406,-1.825,8.119,6.085
Enda Reilly - Cur An Long Ag Seol,4.785,4.18,1.928,-0.552,0.676,-0.803,5.077,3.922,0.397,-0.963,5.96,4.775
Forkupines - Semantics,7.192,0.97,6.963,-1.407,5.439,-5.565,4.99,-0.392,3.75,-6.361,9.197,2.244
Georgia Wonder - Siren,2.815,-3.471,3.338,-2.853,2.709,-3.242,1.874,-4.566,1.979,-3.546,3.647,-3.044
Girls Under Glass - We Feel Alright,6.094,0.42,6.572,0.498,4.129,-4.212,5.011,0.004,2.893,-4.766,6.726,0.551
Hollow Ground - Ill Fate,8.052,-0.518,8.728,0.032,6.234,-6.301,8.472,1.313,4.63,-6.824,11.088,4.187
James Elder & Mark M Thompson - The English Actor,4.019,0.593,4.605,-0.514,3.097,-3.18,3.207,-0.166,2.206,-3.611,6.171,1.659
Juliet's Rescue - Heartbeats,9.94,-0.091,11.157,0.808,8.518,-8.604,9.872,0.554,6.373,-8.809,11.743,1.049
Little Chicago's Finest - My Own,5.552,-1.651,7.551,0.29,5.034,-5.231,4.588,-3.543,4.104,-5.416,6.44,-1.595
Louis Cressy Band - Good Time,5.618,1.595,6.001,0.179,4.026,-3.72,4.313,0.506,3.144,-3.949,7.978,2.899
Lyndsey Ollard - Catching Up,10.337,9.119,3.912,2.095,1.056,-1.164,9.73,8.644,0.49,-1.551,10.88,10.007
M.E.R.C. Music - Knockout,4.863,0.791,3.794,-1.507,3.15,-3.138,3.373,-0.817,2.236,-3.624,5.859,1.108
Moosmusic - Big Dummy Shake,8.535,5.982,4.907,1.436,2.231,-2.251,6.818,4.347,1.846,-2.299,9.547,7.01
Motor Tapes - Shore,-1.715,-10.437,8.76,-13.539,11.489,-11.758,-0.255,-10.291,8.121,-12.125,2.951,-10.565
